Species,Brood Year,Stream Name,Hatchery Salmon Total,Wild Salmon Total,Number Of Spawners
Chinook,1961,Catherine Creek,0.0,1041.0,1041.0
Chinook,1961,East Fork Salmon River ,0.0,10122.0,10122.0
Chinook,1961,East Fork South Fork Salmon River,0.0,1434.0,1434.0
Chinook,1961,Entiat R,0.0,411.0,411.0
Chinook,1961,Imnaha River,0.0,5562.0,5562.0
Chinook,1961,Lemhi R,0.0,10071.0,10071.0
Chinook,1961,Loon Cr,0.0,978.0,978.0
Chinook,1961,Lostine/Wallowa,0.0,843.0,843.0
Chinook,1961,Marsh Cr,0.0,4107.0,4107.0
Chinook,1961,Methow R,0.0,1995.0,1995.0
Chinook,1961,Minam River,0.0,1314.0,1314.0
Chinook,1961,Salmon R Lower Mainstem,0.0,2061.0,2061.0
Chinook,1961,Secesh R,0.0,1506.0,1506.0
Chinook,1961,South Fork Salmon Mainstem,0.0,7332.0,7332.0
Chinook,1961,Sulphur Cr,0.0,1824.0,1824.0
Chinook,1961,Upper Grande Ronde River,0.0,1736.0,1736.0
Chinook,1961,Upper Salmon River Mainstem,0.0,2077.0,2077.0
Chinook,1961,Valley Cr,0.0,3141.0,3141.0
Chinook,1961,Wenatchee R,0.0,4620.0,4620.0
Chinook,1961,Yankee Fork Salmon R,0.0,1749.0,1749.0
Chinook,1962,Bear Valley Cr,0.0,5163.0,5163.0
Chinook,1962,Big Cr,0.0,3297.0,3297.0
Chinook,1962,Camas Cr,0.0,388.0,388.0
Chinook,1962,Catherine Creek,0.0,3438.0,3438.0
Chinook,1962,East Fork Salmon River ,0.0,4545.0,4545.0
Chinook,1962,East Fork South Fork Salmon River,0.0,2280.0,2280.0
Chinook,1962,Entiat R,0.0,1077.0,1077.0
Chinook,1962,Imnaha River,0.0,6243.0,6243.0
Chinook,1962,Lemhi R,0.0,7830.0,7830.0
Chinook,1962,Loon Cr,0.0,1173.0,1173.0
Chinook,1962,Lostine/Wallowa,0.0,1014.0,1014.0
Chinook,1962,Marsh Cr,0.0,2664.0,2664.0
Chinook,1962,Methow R,0.0,8439.0,8439.0
Chinook,1962,Minam River,0.0,4422.0,4422.0
Chinook,1962,Salmon R Lower Mainstem,0.0,2703.0,2703.0
Chinook,1962,Secesh R,0.0,2220.0,2220.0
Chinook,1962,South Fork Salmon Mainstem,0.0,11013.0,11013.0
